subject,body,category
Apuesta y gana,Entra ya al sitio y obtén premios en efectivo.,spam
Reencuentro,Sería bueno reunirnos después de tanto tiempo.,otros
Jornada de salud,Participe en la jornada institucional de salud preventiva.,salud
Regalo gratuito,Solicita tu regalo gratis completando el formulario.,spam
Cadena amistosa,Te comparto este mensaje con cariño.,otros
Promoción increíble,Accede a una oportunidad única para ganar recompensas.,spam
Taller evaluativo,Se asigna taller evaluativo para entregar esta semana.,educacion
Transferencia pendiente,La transferencia está retenida hasta confirmar la operación hoy.,urgente
Resultado de cita,Se comparte resumen de la consulta realizada.,salud
Biblioteca digital,Nuevos recursos disponibles en la biblioteca digital.,educacion
Aprobación pendiente,Falta su aprobación urgente para liberar la orden de compra.,urgente
Curso intensivo,Apertura de curso intensivo de lectura crítica.,educacion
Organización de salida,Estamos cuadrando una salida a cine.,otros
Encuentro pedagógico,Invitación a encuentro pedagógico institucional.,educacion
Convocatoria entrevista laboral,Ha sido seleccionado para entrevista en el cargo de analista.,trabajo
Aula virtual,Ya está disponible la nueva unidad en el aula virtual.,educacion
Afiliación EPS,Actualice sus datos de afiliación a la EPS.,salud
Reclutamiento activo,Seguimos en proceso de selección para el cargo de diseñador.,trabajo
Presentación comercial,Se adjunta presentación comercial para reunión con cliente.,trabajo
Consulta personal,Quería preguntarte algo sobre un asunto personal.,otros
Invitación a feria laboral,Conozca nuevas oportunidades laborales en la feria virtual.,trabajo
Bono por registro,Regístrate hoy y recibe un bono instantáneo.,spam
Portal estudiantil,Actualice sus datos en el portal estudiantil.,educacion
Actualización del tablero,Favor actualizar el tablero con el estado de cada tarea.,trabajo
Autorización pendiente,Su autorización médica está en trámite.,salud
Agenda con gerencia,Se confirma agenda de trabajo con gerencia para mañana.,trabajo
Incidente crítico,Se reportó una falla crítica en el sistema que requiere revisión inmediata.,urgente
Promoción oculta,Descubre esta promoción secreta solo por hoy.,spam
Mensaje familiar,La familia se reunirá el domingo en la casa de la abuela.,otros
Oferta de préstamos milagrosos,Accede a dinero inmediato sin requisitos.,spam
Alerta de vencimiento,La factura vence hoy y requiere pago inmediato.,urgente
Vacante coordinador comercial,Se abrió una vacante para coordinador comercial en Bogotá.,trabajo
Inversión garantizada,Duplica tu dinero con esta oportunidad única.,spam
Autorización final,Se necesita su autorización final hoy para continuar.,urgente
Convocatoria monitoria,Se abre convocatoria para monitorias académicas.,educacion
Mensaje social,Te escribo para saludarte y saber cómo sigues.,otros
Atención inmediata requerida,El coordinador solicita atención inmediata a este correo.,urgente
Citación a comité disciplinario,Se cita al colaborador para revisión de un caso interno.,trabajo
Has sido seleccionado,Reclama tu premio sorpresa ingresando a este enlace.,spam
Proceso de inscripción,Complete el formulario de inscripción al diplomado.,educacion
Urgente: cambio en la agenda,Se modificó la agenda y necesita confirmar ahora mismo.,urgente
Publicidad especial,Compra suplementos milagrosos con envío gratis.,spam
Entrega de informe semanal,Por favor compartir el informe semanal con resultados y próximos pasos.,trabajo
Haz fortuna,Aprende a generar grandes ingresos en línea.,spam
Cambio de horario inmediato,El horario de la entrevista fue cambiado para dentro de una hora.,urgente
Inscripción a curso,Se encuentra abierta la inscripción al curso de inglés.,educacion
Corrección de actividad,Se publicaron observaciones sobre la actividad enviada.,educacion
Oferta exclusiva por tiempo limitado,Compra hoy con 90 por ciento de descuento.,spam
Entrega de evidencias,Debe enviar las evidencias solicitadas hoy sin falta.,urgente
Descuento final,Última oportunidad para aprovechar nuestra promoción.,spam
Control odontológico,Se agenda control odontológico para la próxima semana.,salud
Reprogramación de consulta,La consulta médica fue reprogramada por disponibilidad.,salud
Horario de clases,Se comparte horario oficial del nuevo periodo.,educacion
Campaña de prevención,Invitación a campaña de prevención y promoción en salud.,salud
Informe de ventas,Se presentan las cifras de ventas y comportamiento del mercado.,trabajo
Autorización de examen,Se aprobó la autorización para el examen solicitado.,salud
Prueba diagnóstica,Debe presentar la prueba diagnóstica en línea.,educacion
Seguimiento médico,Se realizará seguimiento por medicina interna.,salud
Cierre mensual,Recordatorio del cierre contable mensual del área financiera.,trabajo
Respuesta requerida de inmediato,Se solicita respuesta inmediata sobre el incidente reportado en la oficina.,urgente
Certificado estudiantil,Puede descargar su certificado estudiantil desde el portal.,educacion
Resultados de laboratorio,Ya se encuentran disponibles sus resultados de laboratorio clínico.,salud
Accede al premio,Solo sigue el enlace para cobrar tu beneficio.,spam
Plan de trabajo,Adjunto plan de trabajo del próximo mes.,trabajo
Tu cuenta fue elegida,Has sido elegido para una recompensa especial.,spam
Programa de bienestar,Invitación a jornada de bienestar y salud mental.,salud
Ajuste de nómina,Se informa ajuste en el proceso de liquidación de nómina.,trabajo
Actualización personal,Te cuento que cambié de apartamento.,otros
Resultado imagenología,Ya puede revisar el resultado de imagenología.,salud
Entrega de fórmula,Puede reclamar la fórmula médica en la sede asignada.,salud
Agradecimiento,Gracias por tu ayuda y por estar pendiente.,otros
Coordinación de equipo,Se requiere coordinar actividades con el equipo de soporte.,trabajo
Revisión de propuesta,Se solicita revisión de propuesta para el cliente empresarial.,trabajo
Revisión inmediata del informe,El gerente solicita revisar el informe en este momento.,urgente
Entrega hoy,La entrega final debe subirse hoy antes de la medianoche.,urgente
Solicitud prioritaria,Se requiere atender esta solicitud con prioridad alta.,urgente
Ganancias rápidas,Método comprobado para hacer dinero rápido.,spam
Cita médica programada,Se confirma su cita médica con medicina general.,salud
Incumplimiento detectado,Se detectó incumplimiento y debe responder de manera urgente.,urgente
Detalles del paseo,Ya están listos los detalles del paseo del domingo.,otros
Priorización de caso,Su solicitud fue marcada como urgente y requiere respuesta inmediata.,urgente
Retroalimentación de desempeño,Se comparte evaluación de desempeño del último trimestre.,trabajo
Confirmación de entrevista,Se confirma entrevista laboral para el viernes.,trabajo
Entrega de actividad académica,Recuerde subir la actividad a la plataforma educativa.,educacion
Recordatorio plataforma,Ingrese a la plataforma para revisar nuevas actividades.,educacion
Reunión extraordinaria,Se convoca reunión urgente para revisar los cambios del proyecto.,urgente
Actualización requerida,Actualice sus datos hoy para evitar retrasos en el proceso.,urgente
Tratamiento autorizado,Su tratamiento fue autorizado por la entidad.,salud
